,miscleavage_model,var_subject,var_site,var_species,missingness,method,rmse_mean,rmse_se,n
303,global,1,1,9,0.25,int_sum,3.136285571896754,0.4552615571687064,5
304,global,1,1,9,0.25,stoich_fraction,1.0662455044674042,0.12619924888904735,5
305,global,1,1,9,0.25,stoich_logit,6.39064904106235,0.7368610142936427,5
306,global,1,1,9,0.25,stoich_pep_mean,1.0662455044674042,0.12619924888904735,5
307,global,1,1,9,0.25,stoich_pep_median,1.0662455044674042,0.12619924888904735,5
308,global,1,1,9,0.5,int_mean,1.125262030265921,0.0623501717284983,5
309,global,1,1,9,0.5,int_median,1.1324564906403995,0.06253519122513893,5
310,global,1,1,9,0.5,int_sum,4.612131577712411,1.4091685510210572,5
311,global,1,1,9,0.5,stoich_fraction,1.204204238779168,0.09871606318572261,5
312,global,1,1,9,0.5,stoich_logit,10.712292275061943,0.3155166573963129,5
313,global,1,1,9,0.5,stoich_pep_mean,1.204204238779168,0.09871606318572261,5
314,global,1,1,9,0.5,stoich_pep_median,1.204204238779168,0.09871606318572261,5
315,global,1,9,0,0.0,int_mean,0.9389236960632299,0.08560151325291136,5
316,global,1,9,0,0.0,int_median,1.0187132274686346,0.11600388638145472,5
317,global,1,9,0,0.0,int_sum,3.228069315902777,0.26447453200690185,5
318,global,1,9,0,0.0,stoich_fraction,1.05291121638588,0.052981230194494085,5
319,global,1,9,0,0.0,stoich_logit,0.4814104887433137,0.07514289061838583,5
320,global,1,9,0,0.0,stoich_pep_mean,1.05291121638588,0.052981230194494085,5
321,global,1,9,0,0.0,stoich_pep_median,1.05291121638588,0.052981230194494085,5
322,global,1,9,0,0.25,int_mean,0.9072595296893133,0.11236079709549124,5
323,global,1,9,0,0.25,int_median,0.9299832128991673,0.1084989439329831,5
324,global,1,9,0,0.25,int_sum,2.8346466011045828,0.3881494930824098,5
325,global,1,9,0,0.25,stoich_fraction,1.3056004862497381,0.1209061281712283,5
326,global,1,9,0,0.25,stoich_logit,6.719866115580437,0.29348962078261837,5
327,global,1,9,0,0.25,stoich_pep_mean,1.3056004862497381,0.1209061281712283,5
328,global,1,9,0,0.25,stoich_pep_median,1.3056004862497381,0.1209061281712283,5
329,global,1,9,0,0.5,int_mean,1.196753695630796,0.16631046642685354,5
330,global,1,9,0,0.5,int_median,1.197603560622151,0.16684746951988383,5
331,global,1,9,0,0.5,int_sum,4.0589149238445845,0.8440332249288403,5
332,global,1,9,0,0.5,stoich_fraction,1.4663997556909816,0.08833065684945074,5
333,global,1,9,0,0.5,stoich_logit,10.079061556868654,0.8957903807356117,5
334,global,1,9,0,0.5,stoich_pep_mean,1.4663997556909816,0.08833065684945074,5
335,global,1,9,0,0.5,stoich_pep_median,1.4663997556909816,0.08833065684945074,5
