protein_length,abundance,missingness,miscleavage_rate,var_subject,var_site,n_proteins,method,rmse_mean,rmse_se,n
100,100,0.0,0.0,0.0,9.0,10,rrollup/median,0.8719524042991882,0.07863800524261814,5
100,100,0.0,0.0,0.0,9.0,10,rrollup/sum,2.1976461106241008,0.22549912037287922,5
100,100,0.0,0.0,0.0,9.0,10,zrollup/mean,1.324368713539691,0.10664832149717586,5
100,100,0.0,0.0,0.0,9.0,10,zrollup/median,1.399418229586909,0.08714789561448777,5
100,100,0.0,0.0,0.0,9.0,10,zrollup/sum,2.269994943997983,0.23463004719595754,5
100,100,0.0,0.0,1.0,0.0,5,rollup/mean,1.1139518081093804,0.26557927682393007,5
100,100,0.0,0.0,1.0,0.0,5,rollup/median,1.1159625742730273,0.27087092393003587,5
100,100,0.0,0.0,1.0,0.0,5,rollup/sum,2.4985183515856897,0.3663330773284877,5
100,100,0.0,0.0,1.0,0.0,5,rrollup/mean,1.1139518081093802,0.26557927682393007,5
100,100,0.0,0.0,1.0,0.0,5,rrollup/median,1.1449570787465855,0.2686776451729109,5
100,100,0.0,0.0,1.0,0.0,5,rrollup/sum,2.4985183515856897,0.36633307732848763,5
100,100,0.0,0.0,1.0,0.0,5,zrollup/mean,1.4837689282142956,0.22604068533915025,5
100,100,0.0,0.0,1.0,0.0,5,zrollup/median,1.4933589928206743,0.2342350349707286,5
100,100,0.0,0.0,1.0,0.0,5,zrollup/sum,1.7038244754889411,0.2721255022910212,5
100,100,0.0,0.0,1.0,0.0,10,rollup/mean,0.6597676625521373,0.07039279809252778,5
100,100,0.0,0.0,1.0,0.0,10,rollup/median,0.7025469637110466,0.054032807835749284,5
100,100,0.0,0.0,1.0,0.0,10,rollup/sum,2.1631769293610494,0.3224681279193715,5
100,100,0.0,0.0,1.0,0.0,10,rrollup/mean,0.6597676625521373,0.07039279809252778,5
100,100,0.0,0.0,1.0,0.0,10,rrollup/median,0.6898518025005816,0.056830666260423796,5
100,100,0.0,0.0,1.0,0.0,10,rrollup/sum,2.1631769293610494,0.3224681279193713,5
100,100,0.0,0.0,1.0,0.0,10,zrollup/mean,1.04574848794388,0.1265312344420589,5
100,100,0.0,0.0,1.0,0.0,10,zrollup/median,1.0436639367579355,0.12709251289868753,5
100,100,0.0,0.0,1.0,0.0,10,zrollup/sum,1.3331374286503181,0.1859806636338941,5
100,100,0.0,0.0,1.0,1.0,5,rollup/mean,0.6206684721164832,0.1116421811849039,5
100,100,0.0,0.0,1.0,1.0,5,rollup/median,0.6269187487877742,0.0936213059080281,5
100,100,0.0,0.0,1.0,1.0,5,rollup/sum,1.8301278613411953,0.40685328805585774,5
100,100,0.0,0.0,1.0,1.0,5,rrollup/mean,0.6206684721164832,0.1116421811849039,5
100,100,0.0,0.0,1.0,1.0,5,rrollup/median,0.644595336974065,0.10062189650638326,5
100,100,0.0,0.0,1.0,1.0,5,rrollup/sum,1.8301278613411953,0.4068532880558579,5
100,100,0.0,0.0,1.0,1.0,5,zrollup/mean,0.9916148834001121,0.12824292011899527,5
100,100,0.0,0.0,1.0,1.0,5,zrollup/median,1.000589666838657,0.12564520641393198,5
100,100,0.0,0.0,1.0,1.0,5,zrollup/sum,1.2908558500714367,0.2862380697214461,5
100,100,0.0,0.0,1.0,1.0,10,rollup/mean,0.9834266216310287,0.12330044009230474,5
100,100,0.0,0.0,1.0,1.0,10,rollup/median,1.052434699765945,0.10877980606513411,5
100,100,0.0,0.0,1.0,1.0,10,rollup/sum,2.1535592850275687,0.2623811316207572,5
100,100,0.0,0.0,1.0,1.0,10,rrollup/mean,0.9834266216310287,0.1233004400923047,5
100,100,0.0,0.0,1.0,1.0,10,rrollup/median,1.012754061660283,0.1232353244670868,5
100,100,0.0,0.0,1.0,1.0,10,rrollup/sum,2.1535592850275687,0.26238113162075727,5
100,100,0.0,0.0,1.0,1.0,10,zrollup/mean,1.202477460242335,0.14816061986124132,5
